Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
Rua Doutor Zamenhof,Alto da Glória,Curitiba/PR,80030-320
Rua Nicolau Maeder - até 429/430,Alto da Glória,Curitiba/PR,80030-330
Rua Augusto Stresser - até 298/299,Alto da Glória,Curitiba/PR,80030-340
Rua Constantino Marochi,Juvevê,Curitiba/PR,80030-360
Rua Machado de Assis - até 569/570,Juvevê,Curitiba/PR,80030-370
Rua Campos Sales - de 416/417 a 979/980,Juvevê,Curitiba/PR,80030-376
Rua Campos Sales - de 982 ao fim - lado par,Juvevê,Curitiba/PR,80030-378
Rua Cambará,Juvevê,Curitiba/PR,80030-380
Rua Nicolau Maeder - de 431/432 ao fim,Juvevê,Curitiba/PR,80030-383
Rua Rocha Pombo - até 718/719,Juvevê,Curitiba/PR,80030-390
Rua Barão dos Campos Gerais,Juvevê,Curitiba/PR,80030-400
Praça Vivian Calopreso Braga,Juvevê,Curitiba/PR,80030-402
Rua Moyses Marcondes - até 668/669,Juvevê,Curitiba/PR,80030-410
Jardinete Mário Bandeira Rocha,Juvevê,Curitiba/PR,80030-415
Rua Guarda-Mor Lustosa,Juvevê,Curitiba/PR,80030-420
Rua Elbe Pospissil,Juvevê,Curitiba/PR,80030-430
Rua Manoel Eufrásio - até 533/534,Juvevê,Curitiba/PR,80030-440
Jardinete Paul Harris,Juvevê,Curitiba/PR,80030-450
Travessa Doutor Flávio Luz,Juvevê,Curitiba/PR,80030-460
Jardinete Padre Bonifácio Kleinpass,Juvevê,Curitiba/PR,80030-462
Rua São Vicente,Juvevê,Curitiba/PR,80030-470
Avenida Munhoz da Rocha - até 399/400,Juvevê,Curitiba/PR,80030-475
Praça São Paulo da Cruz,Juvevê,Curitiba/PR,80030-480
Rua Melchíades Fangueiro,Juvevê,Curitiba/PR,80030-510
Jardinete José de Oliveira Rocha,Juvevê,Curitiba/PR,80030-530
"Avenida João Gualberto, 530

Banco Regional de Desenvolvimento do Extremo Sul-BRDE",Alto da Glória,Curitiba/PR,80030-900
"Rua Mauá, 920

Tribunal de Justiça do Paraná",Alto da Glória,Curitiba/PR,80030-901
"Avenida João Gualberto, 1664 Clique e Retire Correios

AGF João Gualberto Clique e Retire",Juvevê,Curitiba/PR,80030-959
"Avenida João Gualberto, 1664

AGF João Gualberto",Juvevê,Curitiba/PR,80030-970
Avenida Munhoz da Rocha - de 401/402 ao fim,Cabral,Curitiba/PR,80035-000
Rua Bom Jesus - até 99998 - lado par,Juvevê,Curitiba/PR,80035-010
Jardinete Guilherme Ronconi,Juvevê,Curitiba/PR,80035-015
Rua São Pedro,Cabral,Curitiba/PR,80035-020
Rua Bom Jesus - até 99999 - lado ímpar,Cabral,Curitiba/PR,80035-022
Avenida Nossa Senhora da Luz - até 770 - lado par,Cabral,Curitiba/PR,80035-025
Rua Doutor Manoel Pedro,Cabral,Curitiba/PR,80035-030
Rua Chichorro Júnior,Cabral,Curitiba/PR,80035-040
Rua dos Funcionários,Cabral,Curitiba/PR,80035-050
Rua João Américo de Oliveira - até 559/560,Cabral,Curitiba/PR,80035-060
Rua Alfredo Wenske,Cabral,Curitiba/PR,80035-070
Rua Clóvis Beviláqua,Cabral,Curitiba/PR,80035-080
Rua Quintino Bocaiúva,Cabral,Curitiba/PR,80035-090
Rua Professor Arthur Loyola,Cabral,Curitiba/PR,80035-100
Rua Recife,Cabral,Curitiba/PR,80035-110
Rua Deputado Joaquim José Pedrosa,Cabral,Curitiba/PR,80035-120
Avenida Paraná - até 1369/1370,Cabral,Curitiba/PR,80035-130
Rua São Luiz,Cabral,Curitiba/PR,80035-140
Praça Coronel Elísio da Costa Marques,Cabral,Curitiba/PR,80035-142
Rua Coronel João de Alencar Guimarães Filho,Cabral,Curitiba/PR,80035-150
Rua dos Passionistas,Cabral,Curitiba/PR,80035-160
Rua Belém,Cabral,Curitiba/PR,80035-170
Rua Vereador Garcia Rodrigues Velho,Cabral,Curitiba/PR,80035-180
Praça da Suíça,Cabral,Curitiba/PR,80035-190
Travessa Graciosa,Cabral,Curitiba/PR,80035-200
Rua Vereador Antônio dos Reis Cavalheiro,Cabral,Curitiba/PR,80035-210
Jardinete Felipe Nievola,Cabral,Curitiba/PR,80035-215
Rua Campinas,Cabral,Curitiba/PR,80035-220
Rua Coronel Amazonas Marcondes,Cabral,Curitiba/PR,80035-230
Rua Santo Afonso de Ligório - lado ímpar,Cabral,Curitiba/PR,80035-232
Travessa Rodolpho Rosenau,Cabral,Curitiba/PR,80035-235
Rua Vitória,Cabral,Curitiba/PR,80035-240
Rua Pedro Fabri,Cabral,Curitiba/PR,80035-250
Rua Abílio Peixoto,Cabral,Curitiba/PR,80035-260
Rua da Bandeira,Cabral,Curitiba/PR,80035-270
Terminal Cabral,Cabral,Curitiba/PR,80035-280
Rua Reinaldo Egon Heidinger,Cabral,Curitiba/PR,80035-290
Praça Major Idegaldo Coutinho Bacci,Cabral,Curitiba/PR,80035-300
Jardinete Nilseu Brock,Cabral,Curitiba/PR,80035-320
Rua Luciano Cardinale,Cabral,Curitiba/PR,80035-330
Rua Alfredo Gulin,Cabral,Curitiba/PR,80035-340
Rua José de Alencar - de 1456/1457 ao fim,Juvevê,Curitiba/PR,80040-070
Praça Isaac Milder,Juvevê,Curitiba/PR,80040-080
Praça Brigadeiro-do-Ar Mário Calmon Eppinghaus,Juvevê,Curitiba/PR,80040-090
Rua Machado de Assis - de 571/572 ao fim,Juvevê,Curitiba/PR,80040-100
Jardinete Jornalista Samuel Guimarães da Costa,Juvevê,Curitiba/PR,80040-105
Rua Almirante Tamandaré - de 1202/1203 ao fim,Juvevê,Curitiba/PR,80040-110
Rua Sete de Abril - de 1036/1037 ao fim,Juvevê,Curitiba/PR,80040-120
Rua Conselheiro Carrão - até 159/160,Alto da Glória,Curitiba/PR,80040-128
Rua Conselheiro Carrão - de 161/162 a 629/630,Juvevê,Curitiba/PR,80040-130
Rua Atílio Bório - de 1443 ao fim - lado ímpar,Juvevê,Curitiba/PR,80040-132
Rua Itupava - de 477 a 841 - lado ímpar,Juvevê,Curitiba/PR,80040-134
Rua Simão Bolivar - de 379/380 ao fim,Juvevê,Curitiba/PR,80040-140
Rua Humberto Carta,Hugo Lange,Curitiba/PR,80040-150
Rua Conselheiro Carrão - de 631/632 ao fim,Hugo Lange,Curitiba/PR,80040-153
Rua Schiller - de 1417/1418 ao fim,Hugo Lange,Curitiba/PR,80040-160
Rua Padre Germano Mayer - de 1415/1416 ao fim,Hugo Lange,Curitiba/PR,80040-170
Rua Camões - de 921/922 ao fim,Hugo Lange,Curitiba/PR,80040-180
Praça Desembargador Acyr Saldanha Loyola,Hugo Lange,Curitiba/PR,80040-190
Rua Professor Duílio Aníbal Calderari,Hugo Lange,Curitiba/PR,80040-250
Rua Prefeito Ângelo Ferrário Lopes - de 1330/1331 ao fim,Hugo Lange,Curitiba/PR,80040-252
Rua Valdivia,Hugo Lange,Curitiba/PR,80040-260
