Logradouro,Bairro,Cidade,CEP
Rua Ary de Carvalho Porto - até 114/115,Santa Maria,Chapecó/SC,89812-270
Rua São Gerônimo - até 489/490,Santa Maria,Chapecó/SC,89812-280
Rua São Vicente de Paula - E - até 399 - lado ímpar,Santa Maria,Chapecó/SC,89812-300
Rua Quatorze de Agosto - D - de 315/316 a 1128/1129,Santa Maria,Chapecó/SC,89812-310
Rua Austrália - D - de 321/322 ao fim,Santa Maria,Chapecó/SC,89812-318
Rua Domingos Baldissera - até 380/381,Santa Maria,Chapecó/SC,89812-320
Rua Oswaldo Aranha - D - de 309/310 ao fim,Santa Maria,Chapecó/SC,89812-323
Rua Santo André,Santa Maria,Chapecó/SC,89812-325
Rua Felipe Camarão,Santa Maria,Chapecó/SC,89812-330
Rua André Marafon,Santa Maria,Chapecó/SC,89812-340
Rua Santa Cecília - até 249/250,Santa Maria,Chapecó/SC,89812-350
Rua Pirajuí,Santa Maria,Chapecó/SC,89812-355
Rua Santo Antônio - E - até 335 - lado ímpar,Santa Maria,Chapecó/SC,89812-360
Rua Santo Antônio - E - de 587 ao fim - lado ímpar,Santa Maria,Chapecó/SC,89812-361
Rua Santo Antônio - E - de 337 a 585 - lado ímpar,Santa Maria,Chapecó/SC,89812-363
Rua São Vicente de Paula - E - até 400 - lado par,Universitário,Chapecó/SC,89812-385
Rua Tamoios - E - até 333/334,Universitário,Chapecó/SC,89812-410
Rua José Marocco,Universitário,Chapecó/SC,89812-415
Rua Artemio Costella,Universitário,Chapecó/SC,89812-417
Rua Frei Henrique de Coimbra - E - até 279/280,Universitário,Chapecó/SC,89812-420
Rua Tibagi,Universitário,Chapecó/SC,89812-425
Travessa Santa Anna,Esplanada,Chapecó/SC,89812-428
Rua Santa Rita,Esplanada,Chapecó/SC,89812-429
Rua Tapuias,Esplanada,Chapecó/SC,89812-430
Rua Tamoios - E - de 335/336 a 679/680,Esplanada,Chapecó/SC,89812-432
Rua Santa Cecília - de 251/252 ao fim,Esplanada,Chapecó/SC,89812-434
Rua Quatorze de Agosto - D - de 1130/1131 a 2999/3000,Esplanada,Chapecó/SC,89812-435
Rua Tamoios - E - de 681/682 ao fim,Esplanada,Chapecó/SC,89812-437
Rua Guaranis,Esplanada,Chapecó/SC,89812-440
Rua São Vicente de Paula - E - de 401/402 a 779/780,Esplanada,Chapecó/SC,89812-442
Rua Israel - D - de 1146/1147 ao fim,Esplanada,Chapecó/SC,89812-445
Rua São Vicente de Paula - E - de 781/782 ao fim,Esplanada,Chapecó/SC,89812-447
Rua Domingos Baldissera - de 382/383 ao fim,Esplanada,Chapecó/SC,89812-449
Rua Amazonas - E - de 1155/1156 a 2099/2100,Esplanada,Chapecó/SC,89812-451
Rua Amazonas - E - de 676/677 a 1153/1154,Esplanada,Chapecó/SC,89812-452
Rua São Gerônimo - de 491 ao fim - lado ímpar,Esplanada,Chapecó/SC,89812-453
Rua Borges de Medeiros - D - de 1165/1166 ao fim,Esplanada,Chapecó/SC,89812-454
Rua Carijós,Esplanada,Chapecó/SC,89812-456
Rua Amazonas - E - até 674/675,Universitário,Chapecó/SC,89812-458
Rua Rio Negro - E,Universitário,Chapecó/SC,89812-460
Rua Tapajós - E,Universitário,Chapecó/SC,89812-465
Rua Araguaia - E - até 419/420,Universitário,Chapecó/SC,89812-475
Rua Grajaú - E,Universitário,Chapecó/SC,89812-485
Rua Irani - E,Universitário,Chapecó/SC,89812-490
Rua Pastor Joaquim Tavares,Universitário,Chapecó/SC,89812-495
Rua Israel - D - de 321/322 a 1144/1145,Santa Maria,Chapecó/SC,89812-500
Rua Florianópolis - E - de 1301/1302 ao fim,Santa Maria,Chapecó/SC,89812-505
Rua João Paulo I - até 279/280,Santa Maria,Chapecó/SC,89812-510
Rua João Paulo I - de 281/282 ao fim,Santa Maria,Chapecó/SC,89812-512
Rua São Leopoldo - até 239/240,Santa Maria,Chapecó/SC,89812-530
Rua São Francisco - D - de 273/274 ao fim,Santa Maria,Chapecó/SC,89812-535
Rua Montevidéu - D - de 271/272 a 1119/1120,Santa Maria,Chapecó/SC,89812-540
Rua São João Del Rei,Santa Maria,Chapecó/SC,89812-550
Rua Jardim Europa - D - de 271/272 a 1149/1150,Santa Maria,Chapecó/SC,89812-560
Rua Estrela,Esplanada,Chapecó/SC,89812-563
Rua São Leopoldo - de 241/242 ao fim,Esplanada,Chapecó/SC,89812-565
Rua Nossa Senhora do Desterro,Esplanada,Chapecó/SC,89812-567
Rua Paulo Afonso,Esplanada,Chapecó/SC,89812-570
Rua Cáingangue,Esplanada,Chapecó/SC,89812-572
Rua Júlia Artifon Perizzolo,Esplanada,Chapecó/SC,89812-573
Rua Tupinambás - E - de 684/685 a 1189/1190,Esplanada,Chapecó/SC,89812-574
Rua Montevidéu - D - de 1121/1122 ao fim,Esplanada,Chapecó/SC,89812-575
Rua Tupinambás - E - de 1191/1192 ao fim,Esplanada,Chapecó/SC,89812-577
Rua Eça de Queirós,Esplanada,Chapecó/SC,89812-580
Rua Voluntários da Pátria - E - de 748/749 a 1197/1198,Esplanada,Chapecó/SC,89812-582
Rua Voluntários da Pátria - E - de 1199/1200 ao fim,Esplanada,Chapecó/SC,89812-583
Rua Jardim Europa - D - de 1151/1152 ao fim,Esplanada,Chapecó/SC,89812-585
Rua Frei Henrique de Coimbra - E - de 281/282 a 889/890,Esplanada,Chapecó/SC,89812-587
Rua Frei Henrique de Coimbra - E - de 891/892 ao fim,Esplanada,Chapecó/SC,89812-588
Rua Itália - D - de 1151/1152 ao fim,Esplanada,Chapecó/SC,89812-590
Rua Santo Antônio - E - de 2 a 334 - lado par,Esplanada,Chapecó/SC,89812-592
Rua Santo Antônio - E - de 336 a 586 - lado par,Esplanada,Chapecó/SC,89812-593
Rua Santo Antônio - E - de 588 ao fim - lado par,Esplanada,Chapecó/SC,89812-594
Rua Heitor Villa Lobos - D - de 1151/1152 ao fim,Esplanada,Chapecó/SC,89812-595
Rua Araguaia - E - de 421/422 ao fim,Esplanada,Chapecó/SC,89812-597
Rua Euclides Prade,Santa Maria,Chapecó/SC,89812-600
Rua Itália - D - de 281/282 a 1149/1150,Santa Maria,Chapecó/SC,89812-610
Rua Heitor Villa Lobos - D - de 262 a 670 - lado par,Santa Maria,Chapecó/SC,89812-618
Rua Heitor Villa Lobos - D - de 672/673 a 1149/1150,Santa Maria,Chapecó/SC,89812-620
Rua Doutor Serafim Enoss Bertaso - D - de 612/613 a 1139/1140,Santa Maria,Chapecó/SC,89812-630
Rua João Goulart - D - de 1146/1147 ao fim,Esplanada,Chapecó/SC,89812-640
Rua Marechal Cândido Rondon - D - de 1156/1157 ao fim,Esplanada,Chapecó/SC,89812-650
Rua Avelino Anssolin Capeletti,Monte Belo,Chapecó/SC,89812-652
Rua Amazonas - E - de 2101/2102 ao fim,Monte Belo,Chapecó/SC,89812-653
Rua Heitor Antonio Canal,Monte Belo,Chapecó/SC,89812-654
Rua Doutor Serafim Enoss Bertaso - D - de 1141/1142 ao fim,Esplanada,Chapecó/SC,89812-655
Rua Darci Francisco Baldissera,Monte Belo,Chapecó/SC,89812-656
Rua Adão Mazolino Porto,Esplanada,Chapecó/SC,89812-657
Rua João Maria Garcia,Esplanada,Chapecó/SC,89812-659
Rua Germano Triches,Esplanada,Chapecó/SC,89812-661
Rua Gilson Souza,Esplanada,Chapecó/SC,89812-663
Rua Dirceu Adelar Laux,Esplanada,Chapecó/SC,89812-665
Rua Erna Lúcia Rathie Breda,Esplanada,Chapecó/SC,89812-667
Rua Claudino Demarco,Esplanada,Chapecó/SC,89812-669
Rua Vicença Marchiori Fazolo,Esplanada,Chapecó/SC,89812-670
Rua Henrique Bernardo Buss,Esplanada,Chapecó/SC,89812-671
Rua Mauro Rigo,Esplanada,Chapecó/SC,89812-672
Rua Valmir Laucsen,Esplanada,Chapecó/SC,89812-673
Rua Cadu Gaúcho,Esplanada,Chapecó/SC,89812-674
"Rodovia SC-283 - do km 88,000 ao km 89,999",Esplanada,Chapecó/SC,89812-675
Rua Padre Nelson Ângelo Rech,Esplanada,Chapecó/SC,89812-676
Rua Tietê - E,Esplanada,Chapecó/SC,89812-677
"Rodovia SC-283 - do km 87,000 ao km 87,999",Esplanada,Chapecó/SC,89812-680
Rua São João Del Rei,São Lucas,Chapecó/SC,89812-754
Rua João Goulart - D - de 651/652 a 1144/1145,São Lucas,Chapecó/SC,89812-756
Rua São Marcos - de 831/832 ao fim,São Lucas,Chapecó/SC,89812-758
Rua Marechal Cândido Rondon - D - de 670/671 a 1154/1155,São Lucas,Chapecó/SC,89812-759
Rua Arthur João Lara - D - de 651/652 ao fim,São Lucas,Chapecó/SC,89812-760
Rua João Aurélio Turatti - D - de 675/676 ao fim,São Lucas,Chapecó/SC,89812-761
Rua Anselmo Santa Catarina - D - de 671/672 ao fim,São Lucas,Chapecó/SC,89812-763
Rua Igarassu - D - de 621/622 ao fim,São Lucas,Chapecó/SC,89812-764
Rua Genir José Destri,São Lucas,Chapecó/SC,89812-766
Rua Jacomo Colpani,São Lucas,Chapecó/SC,89812-770
"Avenida Getúlio Dorneles Vargas - S, 957

Prefeitura Municipal de Chapecó",Centro,Chapecó/SC,89812-900
Avenida Nereu Ramos - D - de 2801/2802 ao fim,Seminário,Chapecó/SC,89813-000
Rua São Martinho,Seminário,Chapecó/SC,89813-010
Rua Graúna,Seminário,Chapecó/SC,89813-020
Rua Lions Club,Seminário,Chapecó/SC,89813-030
Rua Kasulo,Seminário,Chapecó/SC,89813-040
Rua Siderópolis,Seminário,Chapecó/SC,89813-050
Rua Alfredo Moura,Seminário,Chapecó/SC,89813-055
Rua Maria de Marco Scopel,Seminário,Chapecó/SC,89813-060
Rua Francisco Munarini,Seminário,Chapecó/SC,89813-065
Rua Urubici,Seminário,Chapecó/SC,89813-070
Rua Santa Rosa,Seminário,Chapecó/SC,89813-080
Rua Rotary Club,Seminário,Chapecó/SC,89813-090
Rua Adair da Silva,Seminário,Chapecó/SC,89813-093
Rua Ivan Feuerschuette Bertaso,Seminário,Chapecó/SC,89813-095
Avenida Getúlio Dorneles Vargas - S - de 2501 ao fim - lado ímpar,Seminário,Chapecó/SC,89813-100
Rua São Ludgero,Seminário,Chapecó/SC,89813-110
Rua São Bento,Seminário,Chapecó/SC,89813-120
Rua Santo Amaro da Imperatriz,Seminário,Chapecó/SC,89813-130
Acesso Canários da Terra,Seminário,Chapecó/SC,89813-140
Rua Bom Retiro,Seminário,Chapecó/SC,89813-150
Rua Santa Isabel,Seminário,Chapecó/SC,89813-160
Rua Bom Jesus,Seminário,Chapecó/SC,89813-170
Rua São Luiz do Maranhão,Seminário,Chapecó/SC,89813-180
Rua Júlio Verne,Seminário,Chapecó/SC,89813-182
Rua Frei Elvico Mayer,Seminário,Chapecó/SC,89813-190
Rua Frei Liberato Klockenkaeper,Seminário,Chapecó/SC,89813-200
Rua Frei Plácido Rohlt,Seminário,Chapecó/SC,89813-210
Rua Dom Armando Lombardi,Seminário,Chapecó/SC,89813-220
Rua Padre Nelson Ângelo Rech,Seminário,Chapecó/SC,89813-230
Servidão Rodrigo Andrade Oliveira (Loteamento Popular III),Seminário,Chapecó/SC,89813-233
Rua Vinte e Um de Agosto,Seminário,Chapecó/SC,89813-235
Rua Cristino Cruz,Seminário,Chapecó/SC,89813-238
Rua Dom Wilsom Laus Schmidt,Seminário,Chapecó/SC,89813-240
Rua Tereza Girardi Marcon,Seminário,Chapecó/SC,89813-242
Rua Anacleto Francisco Confortin,Seminário,Chapecó/SC,89813-244
Rua Quatorze de Agosto - D - de 3001/3002 ao fim,Seminário,Chapecó/SC,89813-246
Travessa São Bonifácio,Seminário,Chapecó/SC,89813-250
Rua Santa Efigênia,Seminário,Chapecó/SC,89813-260
Rua João Batista Reus,Seminário,Chapecó/SC,89813-270
Rua Rotaract,Seminário,Chapecó/SC,89813-280
Rua Aquiles Girardi,Seminário,Chapecó/SC,89813-290
Estrada Municipal Celeste Caetano Carbonera (Estrada de acesso ao Loteamento Expoente),Progresso,Chapecó/SC,89813-350
Rua Carmen Antonia Balbinot Pelizza,Progresso,Chapecó/SC,89813-361
Rua Avelino Paimel,Progresso,Chapecó/SC,89813-362
Rua Antonio da Silveira,Progresso,Chapecó/SC,89813-363
Rua Dirceu José Feroldi,Progresso,Chapecó/SC,89813-364
Rua Luiz Spangnolo,Progresso,Chapecó/SC,89813-365
Rua Arestide Erencio Müller,Progresso,Chapecó/SC,89813-366
Rua Igor Salvador,Progresso,Chapecó/SC,89813-367
Rua Jurema Poppe,Progresso,Chapecó/SC,89813-368
Rua Marcos Cezar Paimel,Progresso,Chapecó/SC,89813-369
Rua Leopoldina da Silva,Progresso,Chapecó/SC,89813-370
Acesso Augusto Andrioli,Progresso,Chapecó/SC,89813-380
Rua Ângelo Rodrigues (Loteamento Monte Castelo),Progresso,Chapecó/SC,89813-382
Rua Lino Villa Sanches (Loteamento Monte Castelo),Progresso,Chapecó/SC,89813-383
Rua Norma Moretto (Loteamento Monte Castelo),Progresso,Chapecó/SC,89813-385
Rua Valentin Parizotto,Progresso,Chapecó/SC,89813-387
Rua Firmina Sirena Vitali,Progresso,Chapecó/SC,89813-388
Rua Fiorelo Badalotti,Industrial,Chapecó/SC,89813-820
Acesso Fidélis Líbero Grando,Industrial,Chapecó/SC,89813-821
Rua Ervelino Guerino Felipe Gonsales,Industrial,Chapecó/SC,89813-822
Rua Raimundo Zanella,Industrial,Chapecó/SC,89813-824
Rua Vicente Costa do Nascimento,Industrial,Chapecó/SC,89813-826
Rua Alfredo Goelnner,Industrial,Chapecó/SC,89813-828
Rua Pedro Henrique de Almeida,Industrial,Chapecó/SC,89813-830
Servidão Distr Ind Flavio Baldissera,Industrial,Chapecó/SC,89813-832
Rua Gelmino Ansolin,Industrial,Chapecó/SC,89813-834
Rua Afonso Ligório Martini,Industrial,Chapecó/SC,89813-838
Rua Euzébio Floravante Stuani,Industrial,Chapecó/SC,89813-840
Rua José Furlanetto,Industrial,Chapecó/SC,89813-842
Avenida Getúlio Dorneles Vargas - S - de 492 a 1058 - lado par,Centro,Chapecó/SC,89814-000
Rua Walmor Piazza,Palmital,Chapecó/SC,89814-005
Avenida Getúlio Dorneles Vargas - S - de 1060 a 1824 - lado par,Palmital,Chapecó/SC,89814-006
Avenida Getúlio Dorneles Vargas - S - de 1061 a 1375 - lado ímpar,Palmital,Chapecó/SC,89814-008
Rua Achiles Tomazelli - D - até 480/481,Centro,Chapecó/SC,89814-010
Avenida General Osório - E - de 483 ao fim - lado ímpar,Centro,Chapecó/SC,89814-020
Avenida Irineu Bornhausen - até 99 - lado ímpar,Centro,Chapecó/SC,89814-022
Rua Carlos Batista Bruck - até 270/271,Centro,Chapecó/SC,89814-030
Rua José Garibaldi Rocha Tinn - até 268/269,Centro,Chapecó/SC,89814-040
Rua Independência - E - de 461/462 ao fim,Jardim Itália,Chapecó/SC,89814-043
Rua Florianópolis - D - de 446/447 ao fim,Jardim Itália,Chapecó/SC,89814-045
Rua Bento Gonçalves - E - de 461/462 ao fim,Jardim Itália,Chapecó/SC,89814-047
Rua Lindolfo Stangler - até 229/230,Jardim Itália,Chapecó/SC,89814-050
Rua Achiles Tomazelli - D - de 482/483 ao fim,Jardim Itália,Chapecó/SC,89814-055
Rua João Eloi Mendes - D - até 339/340,Palmital,Chapecó/SC,89814-060
Rua Pedro da Silva Maciel - até 129/130,Jardim Itália,Chapecó/SC,89814-065
Rua Mato Grosso - E - de 988/989 ao fim,Palmital,Chapecó/SC,89814-067
Rua Renê Vegas,Palmital,Chapecó/SC,89814-070
Rua Palmeiras - D - de 676/677 ao fim,Palmital,Chapecó/SC,89814-075
Rua Lindolfo Stangler - de 231/232 ao fim,Palmital,Chapecó/SC,89814-077
Rua Mato Grosso - E - de 473/474 a 986/987,Jardim Itália,Chapecó/SC,89814-080
Rua Pedro da Silva Maciel - de 131/132 ao fim,Palmital,Chapecó/SC,89814-082
Rua Carlos Batista Bruck - de 272/273 ao fim,Jardim Itália,Chapecó/SC,89814-083
Rua Rafael Bellei,Palmital,Chapecó/SC,89814-085
Avenida General Osório - E - de 484 ao fim - lado par,Jardim Itália,Chapecó/SC,89814-090
Rua José Garibaldi Rocha Tinn - de 270/271 ao fim,Jardim Itália,Chapecó/SC,89814-093
Rua Palmeiras - D - de 482 a 674 - lado par,Jardim Itália,Chapecó/SC,89814-095
Rua Palmeiras - D - de 481 a 675 - lado ímpar,Palmital,Chapecó/SC,89814-097
Avenida Porto Alegre - E - de 491/492 a 958/959,Centro,Chapecó/SC,89814-100
Avenida Porto Alegre - E - de 960/961 a 1199/1200,Palmital,Chapecó/SC,89814-101
Rua Palmeiras - D - até 479/480,Centro,Chapecó/SC,89814-110
Rua Acácias - D - até 416 - lado par,Centro,Chapecó/SC,89814-115
Servidão Louro,Palmital,Chapecó/SC,89814-118
Rua Domingos Cherobin,Palmital,Chapecó/SC,89814-120
Travessa João Elesbão da Luz,Palmital,Chapecó/SC,89814-130
Rua David Cansian,Palmital,Chapecó/SC,89814-140
Travessa Encantado,Palmital,Chapecó/SC,89814-150
Rua Mauro Baldissera,Palmital,Chapecó/SC,89814-160
Rua Saad Antônio Sarquis,Palmital,Chapecó/SC,89814-170
Rua Lage de Pedra - D - até 99998 - lado par,Palmital,Chapecó/SC,89814-175
Rua Florianópolis - D - até 444/445,Centro,Chapecó/SC,89814-200
Travessa Guatimbé,Centro,Chapecó/SC,89814-202
Avenida Fernando Machado - E - de 491/492 a 1038/1039,Centro,Chapecó/SC,89814-210
Avenida Fernando Machado - E - de 1040/1041 a 1823/1824,Palmital,Chapecó/SC,89814-211
Travessa das Camélias,Centro,Chapecó/SC,89814-220
Rua Acácias - D - até 415 - lado ímpar,Palmital,Chapecó/SC,89814-230
Rua Acácias - E - até 186 - lado par,Palmital,Chapecó/SC,89814-233
Servidão Angelo Sartori (Lot. Jardim dos Ipês),Palmital,Chapecó/SC,89814-235
Rua São Lucas - até 150 - lado par,Palmital,Chapecó/SC,89814-237
Rua Pinheiros - D,Palmital,Chapecó/SC,89814-240
Travessa Flamboyant,Palmital,Chapecó/SC,89814-245
Avenida Nereu Ramos - D - de 1191/1192 a 1283/1284,Palmital,Chapecó/SC,89814-247
Rua Araucária - D,Palmital,Chapecó/SC,89814-250
Rua Araucária - E,Palmital,Chapecó/SC,89814-253
Rua Ipê - E - até 99999 - lado ímpar,Palmital,Chapecó/SC,89814-257
Rua Ipê - D,Palmital,Chapecó/SC,89814-260
Rua Rui Barbosa - D - de 952 a 1210 - lado par,Palmital,Chapecó/SC,89814-265
Travessa Amilcore Sutilli,Palmital,Chapecó/SC,89814-300
Rua Diomedes Davi - D,Universitário,Chapecó/SC,89814-320
Rua Amazonas - D,Universitário,Chapecó/SC,89814-330
Rua Rio Negro - D,Universitário,Chapecó/SC,89814-340
Rua Tapajós - D,Universitário,Chapecó/SC,89814-350
Rua Tancredo de Almeida Neves,Universitário,Chapecó/SC,89814-360
Rua Araguaia - D,Universitário,Chapecó/SC,89814-420
Rua Tietê - D,Universitário,Chapecó/SC,89814-430
Rua Grajaú - D,Universitário,Chapecó/SC,89814-440
Rua Honorino Luiz Berno,Universitário,Chapecó/SC,89814-442
Rua Santa Terezinha,Universitário,Chapecó/SC,89814-443
Rua Imperatriz,Universitário,Chapecó/SC,89814-444
Rua Claudecir Stormovski,Universitário,Chapecó/SC,89814-445
Rua Cristal,Universitário,Chapecó/SC,89814-447
Rua Nossa Senhora de Lurdes,Universitário,Chapecó/SC,89814-448
Avenida Fernando Machado - E - de 2686 ao fim - lado par,Universitário,Chapecó/SC,89814-449
Rua Armando Haeffner Marinho,Universitário,Chapecó/SC,89814-450
Rua Margaridas - Ímpar,Universitário,Chapecó/SC,89814-455
Rua Irani - D,Universitário,Chapecó/SC,89814-460
Avenida Fernando Machado - E - de 1825/1826 a 2683/2684,Universitário,Chapecó/SC,89814-470
Avenida Porto Alegre - E - de 1201/1202 ao fim,Universitário,Chapecó/SC,89814-480
Avenida Getúlio Dorneles Vargas - S - de 1826 a 2384 - lado par,Universitário,Chapecó/SC,89814-490
Rua Lage de Pedra - D - até 99999 - lado ímpar,Universitário,Chapecó/SC,89814-500
Rua Nilópolis - D,Universitário,Chapecó/SC,89814-510
Rua Armando Dal Piva,Universitário,Chapecó/SC,89814-530
Rua Olinda,Palmital,Chapecó/SC,89814-538
Travessa Clara Nunes,Palmital,Chapecó/SC,89814-540
Rua Rosas,Palmital,Chapecó/SC,89814-550
Rua Teresina,Palmital,Chapecó/SC,89814-560
Rua Natal,Palmital,Chapecó/SC,89814-570
Rua Margaridas - Par,Palmital,Chapecó/SC,89814-580
Rua Recife,Palmital,Chapecó/SC,89814-590
Rua Aracaju,Palmital,Chapecó/SC,89814-600
Rua Salvador,Palmital,Chapecó/SC,89814-610
Rua Maceió,Palmital,Chapecó/SC,89814-615
Rua Vitória,Palmital,Chapecó/SC,89814-620
Rua Antônio Baratto,Palmital,Chapecó/SC,89814-625
Rua Belo Horizonte,Palmital,Chapecó/SC,89814-630
Rua Ernesto Diavan,Palmital,Chapecó/SC,89814-635
Rua Vicente Cunha - até 1395 - lado ímpar,Palmital,Chapecó/SC,89814-637
Rua Verona,Palmital,Chapecó/SC,89814-640
Rua Assis Procópio dos Santos,Palmital,Chapecó/SC,89814-642
Servidão Peperi,Palmital,Chapecó/SC,89814-643
Rua Paraíba - até 344/345,Palmital,Chapecó/SC,89814-645
Avenida Irineu Bornhausen - até 100 - lado par,Palmital,Chapecó/SC,89814-648
Avenida Irineu Bornhausen - de 101/102 ao fim,Palmital,Chapecó/SC,89814-650
Rua Pernambuco - até 184/185,Palmital,Chapecó/SC,89814-655
Rua Alagoas - até 199/200,Palmital,Chapecó/SC,89814-657
Rua São Luiz,Palmital,Chapecó/SC,89814-660
Rua Sergipe - até 189/190,Palmital,Chapecó/SC,89814-665
Rua Bahia - até 189/190,Palmital,Chapecó/SC,89814-667
Servidão Ipiranga,Palmital,Chapecó/SC,89814-670
Rua Espirito Santo - até 189/190,Palmital,Chapecó/SC,89814-675
Rua São Paulo - até 184/185,Palmital,Chapecó/SC,89814-677
Travessa Pelicano,Palmital,Chapecó/SC,89814-680
Rodovia SC-480 - até 999 - lado ímpar,Palmital,Chapecó/SC,89814-690
Rodovia SC-480 - de 1001 a 1999 - lado ímpar,Palmital,Chapecó/SC,89814-694
Rua Três Palmeiras,Dom Pascoal,Chapecó/SC,89814-810
Avenida Fernando Machado - E - de 2685 ao fim - lado ímpar,Dom Pascoal,Chapecó/SC,89814-822
Rua Paschoal Cortellini,Dom Pascoal,Chapecó/SC,89814-830
Rua João Padilha de Oliveira,Dom Pascoal,Chapecó/SC,89814-835
Rua Kasulo,Dom Pascoal,Chapecó/SC,89814-837
Rua Ernesta Pedrou Cortellini,Dom Pascoal,Chapecó/SC,89814-839
Rua João Maria Henrique,Dom Pascoal,Chapecó/SC,89814-841
Rua Luiz Augusto Rosso,Seminário,Chapecó/SC,89814-846
Rua Agostinho Duarte,Seminário,Chapecó/SC,89814-848
Avenida Getúlio Dorneles Vargas - S - de 2386 ao fim - lado par,Palmital,Chapecó/SC,89814-850
Rua Helmuth Weirichi,Seminário,Chapecó/SC,89814-852
Rua Macieiras,Campestre,Chapecó/SC,89814-863
Rua Pereiras,Campestre,Chapecó/SC,89814-864
Rua Laranjeiras,Campestre,Chapecó/SC,89814-865
Rua Cerejeiras,Campestre,Chapecó/SC,89814-866
Acesso Isilio Ricieri Antonini,Campestre,Chapecó/SC,89814-867
Rua Limoeiros,Campestre,Chapecó/SC,89814-868
Rua Pitangueiras,Campestre,Chapecó/SC,89814-869
Rua Doutor Rubens Carvalho Rauen,Campestre,Chapecó/SC,89814-870
Rua Village Country,Campestre,Chapecó/SC,89814-872
Rua Thucydides Paim Butuhy,Santo Antônio,Chapecó/SC,89815-030
Rua Pernambuco - de 186/187 ao fim,Santo Antônio,Chapecó/SC,89815-060
Rua Ceará,Santo Antônio,Chapecó/SC,89815-070
Rua Alagoas - de 201/202 ao fim,Santo Antônio,Chapecó/SC,89815-100
Rua Paraíba - de 356/357 ao fim,Santo Antônio,Chapecó/SC,89815-110
Rua Sergipe - de 191/192 ao fim,Santo Antônio,Chapecó/SC,89815-115
Rua Bahia - de 191/192 ao fim,Santo Antônio,Chapecó/SC,89815-120
Rua Espirito Santo - de 191/192 ao fim,Santo Antônio,Chapecó/SC,89815-130
Rua São Paulo - de 401/402 ao fim,Santo Antônio,Chapecó/SC,89815-132
Rua São Paulo - de 186/187 a 399/400,Santo Antônio,Chapecó/SC,89815-145
Rua Zayre Sartori Baldissera,Santo Antônio,Chapecó/SC,89815-147
Rua Milto Oldra,Santo Antônio,Chapecó/SC,89815-149
Rua Pedro Bordignon,Quedas do Palmital,Chapecó/SC,89815-150
Rua Giacondo Trentin,Quedas do Palmital,Chapecó/SC,89815-155
Rua Ângelo Fiorentin,Quedas do Palmital,Chapecó/SC,89815-160
Rua Nilo Ficagna,Quedas do Palmital,Chapecó/SC,89815-170
Travessa José Gallon,Quedas do Palmital,Chapecó/SC,89815-175
Rua Délcio Weber,Quedas do Palmital,Chapecó/SC,89815-180
Rua Altério Ducatti,Quedas do Palmital,Chapecó/SC,89815-190
Travessa Eleutério Francisco Lemes,Quedas do Palmital,Chapecó/SC,89815-195
Rua Olivo Lago,Quedas do Palmital,Chapecó/SC,89815-200
Rua Alfredo Martins Morais,Quedas do Palmital,Chapecó/SC,89815-210
Rua Vicente Cunha - de 1396/1397 ao fim,Quedas do Palmital,Chapecó/SC,89815-213
Rua Ateneu,Quedas do Palmital,Chapecó/SC,89815-216
Rua Jacinto Patussi,Quedas do Palmital,Chapecó/SC,89815-220
Rua Amadeo Sebastião Barros,Quedas do Palmital,Chapecó/SC,89815-230
Travessa Alberto A. Stolt,Quedas do Palmital,Chapecó/SC,89815-235
Rua Ari Primo Tessari,Quedas do Palmital,Chapecó/SC,89815-240
Rua Augusto Pompermayer,Quedas do Palmital,Chapecó/SC,89815-245
Rua Arno Favero,Quedas do Palmital,Chapecó/SC,89815-248
Rua Alberto Berthier de Almeida,Quedas do Palmital,Chapecó/SC,89815-250
Rua Caetano Maggioni,Quedas do Palmital,Chapecó/SC,89815-255
Rua Elias Meneses de Oliveira,Quedas do Palmital,Chapecó/SC,89815-260
Rua Diogo Alves da Silva,Quedas do Palmital,Chapecó/SC,89815-265
Rua Altamiro Pereira da Cruz,Quedas do Palmital,Chapecó/SC,89815-270
Rua Reinaldo Pinhat,Quedas do Palmital,Chapecó/SC,89815-275
Rodovia SC-480 - até 1000 - lado par,Quedas do Palmital,Chapecó/SC,89815-280
Rodovia SC-480 - de 1002 a 2000 - lado par,Quedas do Palmital,Chapecó/SC,89815-284
Acesso Florenal Ribeiro,Quedas do Palmital,Chapecó/SC,89815-290
Acesso José Rodolfo Travi,Quedas do Palmital,Chapecó/SC,89815-295
Travessa Ana de Lima Gonzaga (Dt Industrial),Quedas do Palmital,Chapecó/SC,89815-300
Rua Inocêncio de Souza Branco,Quedas do Palmital,Chapecó/SC,89815-310
Acesso Florenal Ribeiro,Santos Dumont,Chapecó/SC,89815-325
Rua Manoel Osório Camara (Loteamento Residencial Coqueiros),Santos Dumont,Chapecó/SC,89815-347
Rua Orestes Antonini (Loteamento Residencial Coqueiros),Santos Dumont,Chapecó/SC,89815-348
Rua Ricardo Pedro Romanini,Santos Dumont,Chapecó/SC,89815-349
Rua Hélio Becker,Santos Dumont,Chapecó/SC,89815-350
Rua Nilson Roque Ducatti,Santos Dumont,Chapecó/SC,89815-351
Rua Rui Salustiano Muller,Santos Dumont,Chapecó/SC,89815-352
Rua Alfredo Domingos Ficagna,Santos Dumont,Chapecó/SC,89815-353
